# a combined early aftershock catalog following the Ms6.8 Dingri mainshock
# see the referece Yao et al., (2025), JES for more details
# yyy  mm dd hh mm ss.ss   lat     lon   D(km)   Ml   seqID
# mainshock listed in the CENC catalog           Ms
  2025 01 07 13 38 51.78 28.9410 87.4170 27.00  2.30    86
  2025 01 07 13 40 14.10 28.7740 87.4420 25.00  2.40    87
  2025 01 07 13 41  1.95 28.8380 87.4130 26.00  2.40    88
  2025 01 07 13 45 16.42 28.9780 87.3850 25.00  2.50    89
  2025 01 07 13 47 49.10 28.8450 87.4870 27.00  2.70    90
  2025 01 07 13 48 44.70 28.7910 87.5300 25.00  3.10    91
  2025 01 07 13 52 55.20 28.7710 87.3680 27.00  2.80    92
  2025 01 07 13 53  8.72 28.6330 87.4180 24.00  3.50    93
  2025 01 07 13 57 14.40 28.7630 87.4800  8.00  3.90    94
  2025 01 07 14 01 17.03 28.4540 87.4490 10.00  2.90    95
  2025 01 07 14 03  3.81 28.9660 87.5230  6.00  3.10    96
  2025 01 07 14 03  5.14 28.9980 87.4650 10.00  3.20    97
  2025 01 07 14 04 26.09 29.1000 87.8680 29.00  2.30    98
  2025 01 07 14 06 39.20 28.8140 87.5070 10.00  2.80    99
  2025 01 07 14 07 55.34 28.9360 87.3590 10.00  2.80   100
  2025 01 07 14 09  9.93 28.5420 87.4970 10.00  3.30   101
  2025 01 07 14 12 21.94 28.3460 87.3320 10.00  2.90   102
  2025 01 07 14 14  6.43 28.7940 87.5440 10.00  3.00   103
  2025 01 07 14 15 39.76 28.9500 87.5200 10.00  3.10   104
  2025 01 07 14 21  5.90 28.8230 87.4870 10.00  2.10   105
  2025 01 07 14 24 44.23 28.6210 87.4930 10.00  3.10   106
  2025 01 07 14 25 37.90 28.5830 87.5060 10.00  3.40   107
  2025 01 07 14 29 33.18 28.9110 87.3090 10.00  2.40   108
  2025 01 07 14 35 41.73 28.9190 87.4440 10.00  2.70   109
  2025 01 07 14 38 59.77 29.1910 87.6630 10.00  2.20   110
  2025 01 07 14 41  5.79 28.8480 87.5160 10.00  2.80   111
  2025 01 07 14 50 36.64 28.5740 87.4560 10.00  2.90   112
  2025 01 07 14 50 37.65 28.5900 87.4960 10.00  2.90   113
  2025 01 07 14 56 26.06 28.6890 87.3960 10.00  2.60   114
  2025 01 07 15 04 31.96 28.7090 87.5380 23.00  3.80   115
  2025 01 07 15 08 11.40 28.8820 87.4640 10.00  2.70   116
  2025 01 07 15 09 45.04 28.6390 87.4510 10.00  2.70   117
  2025 01 07 15 27 26.11 28.9870 87.4910 10.00  3.10   118
  2025 01 07 15 31 53.69 28.8810 87.5410 20.00  2.40   119
  2025 01 07 15 34 42.86 28.4620 87.4960 24.00  2.60   120
  2025 01 07 15 36 34.37 28.5070 87.4250 22.00  3.40   121
  2025 01 07 15 40 18.28 28.8760 87.5010 10.00  3.20   122
  2025 01 07 15 48 52.64 28.9320 87.4690 10.00  3.10   123
  2025 01 07 15 53 23.41 28.8660 87.5980 10.00  2.90   124
  2025 01 07 15 54  8.24 28.4730 87.4680 10.00  4.40   125
  2025 01 07 15 58 34.82 28.9230 87.4480 10.00  3.00   126
  2025 01 07 16 00 22.51 28.7240 87.5040 10.00  2.60   127
  2025 01 07 16 01 45.36 28.6270 87.4880 30.00  2.50   128
  2025 01 07 16 05  4.22 28.7560 87.5650 31.00  2.50   129
  2025 01 07 16 07  0.97 28.9150 87.5610 30.00  2.60   130
  2025 01 07 16 13 47.35 28.9190 87.5190 19.00  2.80   131
  2025 01 07 16 19 33.08 28.4540 87.5300 10.00  2.90   132
  2025 01 07 16 34 34.57 28.7780 87.3760 12.00  2.50   133
  2025 01 07 16 38 30.16 28.8600 87.5160  5.00  2.90   134
  2025 01 07 16 49 47.51 28.4810 87.4520 14.00  2.80   135
  2025 01 07 16 53 38.94 28.5130 87.4770 10.00  2.90   136
  2025 01 07 16 59 25.60 28.9650 87.4510 10.00  2.50   137
  2025 01 07 17 05 22.09 28.7840 87.5510 20.00  2.30   138
  2025 01 07 17 08 10.53 28.7740 87.4090 10.00  2.50   139
  2025 01 07 17 10 33.51 28.9640 87.4320 27.00  2.80   140
  2025 01 07 17 12 56.16 28.8550 87.6520 25.00  2.30   141
  2025 01 07 17 21 30.79 28.7080 87.3730 27.00  3.30   142
  2025 01 07 17 24 42.84 28.6740 87.4640 10.00  3.00   143
  2025 01 07 17 27 37.57 28.7360 87.5210 20.00  2.70   144
  2025 01 07 17 30 49.07 28.7490 87.3500 25.00  3.00   145
  2025 01 07 17 32 22.80 28.7290 87.3360 30.00  2.40   146
  2025 01 07 17 36 42.39 28.7800 87.5240 10.00  2.50   147
  2025 01 07 17 41 23.57 28.9380 87.4920 25.00  2.10   148
  2025 01 07 17 42  4.84 29.1850 87.3870 10.00  1.90   149
  2025 01 07 17 46 22.63 28.6530 87.4510 10.00  2.60   150
  2025 01 07 17 47 35.45 28.9210 87.5100 10.00  2.60   151
  2025 01 07 17 48 26.35 28.8880 87.5120 10.00  2.30   152
  2025 01 07 17 49 19.23 28.8100 87.5620 10.00  2.80   153
  2025 01 07 17 50 36.37 28.7240 87.4860 13.00  3.30   154
  2025 01 07 17 52  0.61 28.8980 87.4670 22.00  3.10   155
  2025 01 07 17 53 37.68 28.4860 87.3810 28.00  2.70   156
  2025 01 07 17 57 43.35 28.8000 87.1670 30.00  1.60   157
  2025 01 07 17 58 20.72 28.8610 87.4650 25.00  2.60   158
  2025 01 07 18 01 38.81 28.4310 87.3760 10.00  2.90   159
  2025 01 07 18 02 54.62 28.8900 87.4960 10.00  2.20   160
  2025 01 07 18 03 50.55 28.6870 87.4070 10.00  2.20   161
  2025 01 07 18 05 16.69 28.7150 87.2550 27.00  2.40   162
  2025 01 07 18 06  0.75 28.8670 87.4750 24.00  2.20   163
  2025 01 07 18 09  4.90 28.3690 87.6320 25.00  2.70   164
  2025 01 07 18 12 16.42 28.4840 87.5100 21.00  3.40   165
  2025 01 07 18 13 39.02 28.4690 87.5000 21.00  2.50   166
  2025 01 07 18 14 59.12 28.8870 87.4620 26.00  2.70   167
  2025 01 07 18 16 24.78 28.9010 87.4860 15.00  1.90   168
  2025 01 07 18 17 59.22 28.5070 87.4580 13.00  3.30   169
  2025 01 07 18 22 31.52 28.9930 87.4720 10.00  2.90   170
  2025 01 07 18 24 55.79 28.7190 87.2200 10.00  2.40   171
  2025 01 07 18 26 23.85 28.7540 87.4870  1.00  2.40   172
  2025 01 07 18 27 33.05 28.8470 87.5570 15.00  2.60   173
  2025 01 07 18 32 25.98 28.6310 87.4910 31.00  2.30   174
  2025 01 07 18 34  0.06 28.8710 87.4750 15.00  2.60   175
  2025 01 07 18 35 31.23 28.7370 87.5100  4.00  2.70   176
  2025 01 07 18 36  8.34 28.6160 87.4960 10.00  2.60   177
  2025 01 07 18 37 24.37 28.5510 87.5110 15.00  2.50   178
  2025 01 07 18 37 24.57 28.5530 87.5020 14.00  2.50   179
  2025 01 07 18 40 40.55 28.4250 87.4760 20.00  3.40   180
  2025 01 07 18 44 31.60 28.9550 87.4450 10.00  2.70   181
  2025 01 07 18 47  0.99 28.7240 87.5410 10.00  2.40   182
  2025 01 07 18 49 34.25 28.7800 87.5730 24.00  2.50   183
  2025 01 07 18 54  1.37 28.8610 87.4500 10.00  3.10   184
  2025 01 07 18 54 53.43 28.7750 87.4670 11.00  2.80   185
  2025 01 07 18 56  6.43 28.7860 87.5200 18.00  2.70   186
  2025 01 07 19 00 51.89 28.9350 87.5480 11.00  2.20   187
  2025 01 07 19 03  3.73 28.5710 87.4360 10.00  2.80   188
  2025 01 07 19 04 49.25 28.6850 87.3980 11.00  3.30   189
  2025 01 07 19 07 41.82 28.4830 87.4320 14.00  2.30   190
  2025 01 07 19 11 45.18 28.7500 87.4050 25.00  2.00   191
  2025 01 07 19 12 12.04 28.8740 87.4550 20.00  2.10   192
  2025 01 07 19 12 50.07 28.9400 87.4700 25.00  2.50   193
  2025 01 07 19 15 23.98 28.9630 87.4260 25.00  2.10   194
  2025 01 07 19 22  1.85 28.5250 87.4630  7.00  3.30   195
  2025 01 07 19 24 22.69 28.7330 87.3530 25.00  2.50   196
  2025 01 07 19 25  0.67 28.8640 87.5380 19.00  2.60   197
  2025 01 07 19 27  8.39 28.4870 87.4850 15.00  2.60   198
  2025 01 07 19 28 49.51 28.9730 87.4780 13.00  2.40   199
  2025 01 07 19 30 48.15 28.6960 87.1740  5.00  2.50   200
  2025 01 07 19 31  8.40 28.6200 87.4440 22.00  2.70   201
  2025 01 07 19 31 50.85 28.5870 87.4200  5.00  2.70   202
  2025 01 07 19 34 25.26 28.7990 87.5070  4.00  2.60   203
  2025 01 07 19 35 21.60 28.8850 87.4340 26.00  2.00   204
  2025 01 07 19 36 21.65 28.8330 87.5990  2.00  2.30   205
  2025 01 07 19 40 19.51 28.5230 87.4380  5.00  2.20   206
  2025 01 07 19 41 59.47 28.7050 87.4170  5.00  2.40   207
  2025 01 07 19 42 30.17 28.6530 87.3980 64.00  2.00   208
  2025 01 07 19 44 28.13 28.8310 87.5490 19.00  2.70   209
  2025 01 07 19 47  8.99 28.8980 87.4910  5.00  1.90   210
  2025 01 07 19 48  4.78 28.7640 87.5340  8.00  2.40   211
  2025 01 07 19 48 47.61 28.6490 87.4760  5.00  2.40   212
  2025 01 07 19 49 45.16 28.5300 87.4700 12.00  3.10   213
  2025 01 07 19 53  3.03 28.9120 87.4280 14.00  2.00   214
  2025 01 07 19 54 55.87 28.8570 87.4570 24.00  2.80   215
  2025 01 07 19 57  1.02 28.4460 86.9860 10.00  1.80   216
  2025 01 07 19 59 38.02 28.8670 87.4940 10.00  2.30   217
  2025 01 07 20 01 25.91 28.6900 87.4190 24.00  2.40   218
  2025 01 07 20 02 44.83 28.4560 87.6470  5.00  2.20   219
  2025 01 07 20 06 18.02 28.8050 87.4370 26.00  2.50   220
  2025 01 07 20 07 11.56 28.9550 87.5120 25.00  2.20   221
  2025 01 07 20 07 54.61 28.6370 87.4450 24.00  2.80   222
  2025 01 07 20 10 51.73 28.4810 87.8570 30.00  2.00   223
  2025 01 07 20 12 33.37 28.8990 87.4640  7.00  2.70   224
  2025 01 07 20 13 26.11 28.6770 87.3710 14.00  3.30   225
  2025 01 07 20 14 27.95 28.9300 87.5280 23.00  3.20   226
  2025 01 07 20 16 24.98 28.4680 87.4600 16.00  2.50   227
  2025 01 07 20 19 43.23 28.6660 87.5370  5.00  2.20   228
  2025 01 07 20 22 15.60 28.4120 87.4660 10.00  3.50   229
  2025 01 07 20 24 11.92 28.4080 87.4310  5.00  2.80   230
  2025 01 07 20 25 42.64 28.7790 87.3910 11.00  3.20   231
  2025 01 07 20 28  2.93 28.5200 87.4240 25.00  2.70   232
