# t_decimal_year  t_day  magnitude
2.232154740419794948e-04 8.152777777777769908e-02 2.799999999999999822e+00
2.313911685767368331e-04 8.451388888888880513e-02 3.299999999999999822e+00
2.329756055020776339e-04 8.509259259259259467e-02 2.899999999999999911e+00
2.349719960280065702e-04 8.582175925925919491e-02 2.799999999999999822e+00
2.369366978154289040e-04 8.653935185185179790e-02 2.799999999999999822e+00
2.410245450828077494e-04 8.803240740740740644e-02 3.500000000000000000e+00
2.435596441633525861e-04 8.895833333333330595e-02 2.899999999999999911e+00
2.478693126002789494e-04 9.053240740740738091e-02 2.700000000000000178e+00
2.485030873704152264e-04 9.076388888888888007e-02 3.200000000000000178e+00
2.520839148216847737e-04 9.207175925925920046e-02 3.299999999999999822e+00
2.553478548878862367e-04 9.326388888888878514e-02 3.700000000000000178e+00
2.704316944171286305e-04 9.877314814814810995e-02 3.799999999999999822e+00
2.828853686503054587e-04 1.033217592592591966e-01 2.899999999999999911e+00
2.871633483487250299e-04 1.048842592592592049e-01 2.899999999999999911e+00
2.964164599927141420e-04 1.082638888888888956e-01 3.700000000000000178e+00
3.054160617286484831e-04 1.115509259259259006e-01 3.799999999999999822e+00
3.097257301655749278e-04 1.131250000000000033e-01 3.299999999999999822e+00
3.183450670394274919e-04 1.162731481481480977e-01 3.500000000000000000e+00
3.377702637441028785e-04 1.233680555555554947e-01 2.500000000000000000e+00
3.387209258993071855e-04 1.237152777777777019e-01 2.899999999999999911e+00
3.403370515631546430e-04 1.243055555555555164e-01 3.100000000000000089e+00
3.543434739831651274e-04 1.294212962962962010e-01 2.600000000000000089e+00
3.605227779919935294e-04 1.316782407407406930e-01 2.500000000000000000e+00
3.801697958662165967e-04 1.388541666666666119e-01 2.799999999999999822e+00
3.863807886135518180e-04 1.411226851851851982e-01 2.899999999999999911e+00
3.908172120045052145e-04 1.427430555555554981e-01 3.100000000000000089e+00
3.974084696139219960e-04 1.451504629629629117e-01 3.100000000000000089e+00
4.045067470394477773e-04 1.477430555555555025e-01 3.399999999999999911e+00
4.139183023759707689e-04 1.511805555555555125e-01 3.100000000000000089e+00
4.166118451490497020e-04 1.521643518518517868e-01 3.200000000000000178e+00
4.259283342700523442e-04 1.555671296296295969e-01 2.600000000000000089e+00
4.396495580435017805e-04 1.605787037037036957e-01 2.799999999999999822e+00
4.441493589114689782e-04 1.622222222222222121e-01 3.000000000000000000e+00
4.454169084517412068e-04 1.626851851851850994e-01 3.399999999999999911e+00
4.537510466790326685e-04 1.657291666666665941e-01 3.000000000000000000e+00
4.675673366680024542e-04 1.707754629629628929e-01 3.399999999999999911e+00
4.810350505333973905e-04 1.756944444444444031e-01 2.500000000000000000e+00
4.923796189188358154e-04 1.798379629629628940e-01 2.799999999999999822e+00
4.975448832954461635e-04 1.817245370370370039e-01 3.500000000000000000e+00
5.102837561751843651e-04 1.863773148148147873e-01 2.600000000000000089e+00
5.172235899081760501e-04 1.889120370370369895e-01 2.500000000000000000e+00
5.323708069144318655e-04 1.944444444444443920e-01 2.500000000000000000e+00
5.372191839059739125e-04 1.962152777777776691e-01 2.700000000000000178e+00
5.389620645238486470e-04 1.968518518518518057e-01 3.100000000000000089e+00
