# t_day  lambda(t)  mu(t)=mu_ref*q_mu  q_mu(t)  q_K0(t)  K0(t)=K0_ref*q_K0
1.317136585667470383e+00 1.503302128614269861e+02 1.413479291953074153e+02 1.413479291953074062e+04 2.484313595305908673e-01 4.968627190611817762e-03
1.335952822605577239e+00 1.480846160073093358e+02 1.394973227069747281e+02 1.394973227069747190e+04 2.598524836621846079e-01 5.197049673243692158e-03
1.354769059543683873e+00 1.475260434484758321e+02 1.376729489725040310e+02 1.376729489725040366e+04 2.717048289994032917e-01 5.434096579988065626e-03
1.373585296481790730e+00 1.447447400621274767e+02 1.358744400113480992e+02 1.358744400113480879e+04 2.839983120774568492e-01 5.679966241549137297e-03
1.392401533419897364e+00 1.430625538722063936e+02 1.341014326838266868e+02 1.341014326838266970e+04 2.967426460058065207e-01 5.934852920116130866e-03
1.411217770358003998e+00 1.429715253681227125e+02 1.323535686378250205e+02 1.323535686378250102e+04 3.099473039612461456e-01 6.198946079224922946e-03
1.430034007296110854e+00 1.394655742597068411e+02 1.306304942558067808e+02 1.306304942558067705e+04 3.236214809951004634e-01 6.472429619902009094e-03
1.448850244234217488e+00 1.386964435631896322e+02 1.289318606021497828e+02 1.289318606021497908e+04 3.377740541819405085e-01 6.755481083638810100e-03
1.467666481172324122e+00 1.412282708411307226e+02 1.272573233708128129e+02 1.272573233708128100e+04 3.524135411467771428e-01 7.048270822935543203e-03
1.486482718110430978e+00 1.356343141377023471e+02 1.256065428333311473e+02 1.256065428333311502e+04 3.675480570178049633e-01 7.350961140356099613e-03
1.505298955048537612e+00 1.329189216509632558e+02 1.239791837871537297e+02 1.239791837871537246e+04 3.831852698623975373e-01 7.663705397247950503e-03
1.524115191986644469e+00 1.305478267590525263e+02 1.223749155043231980e+02 1.223749155043231985e+04 3.993323546752020059e-01 7.986647093504040812e-03
1.542931428924751103e+00 1.309950825010834876e+02 1.207934116804997728e+02 1.207934116804997757e+04 4.159959459987842001e-01 8.319918919975684973e-03
1.561747665862857737e+00 1.328908313880820060e+02 1.192343503843409138e+02 1.192343503843409053e+04 4.331820892693439284e-01 8.663641785386878499e-03
1.580563902800964593e+00 1.288983831762637067e+02 1.176974140072326236e+02 1.176974140072326190e+04 4.508961909924774636e-01 9.017923819849549966e-03
1.599380139739071227e+00 1.276633269228121463e+02 1.161822892133823046e+02 1.161822892133823007e+04 4.691429678667832781e-01 9.382859357335666603e-03
1.618196376677178083e+00 1.286626478174401598e+02 1.146886668902709800e+02 1.146886668902709789e+04 4.879263949862439054e-01 9.758527899724879148e-03
1.637012613615284717e+00 1.278799696146667628e+02 1.132162420994750960e+02 1.132162420994750937e+04 5.072496532656846080e-01 1.014499306531369167e-02
1.655828850553391351e+00 1.317531531281947252e+02 1.117647140278531879e+02 1.117647140278531879e+04 5.271150762471851214e-01 1.054230152494370180e-02
1.674645087491498208e+00 1.279206205243812349e+02 1.103337859391063631e+02 1.103337859391063648e+04 5.475240964589990211e-01 1.095048192917998098e-02
1.693461324429604842e+00 1.328205822247049070e+02 1.089231651257126288e+02 1.089231651257126214e+04 5.684771915122531771e-01 1.136954383024506299e-02
1.712277561367711698e+00 1.216118998635808168e+02 1.075325628612367694e+02 1.075325628612367655e+04 5.899738301343893099e-01 1.179947660268778654e-02
1.731093798305818332e+00 1.203542203427611668e+02 1.061616943530207635e+02 1.061616943530207573e+04 6.120124183518337313e-01 1.224024836703667407e-02
1.749910035243924966e+00 1.414931065053254997e+02 1.048102786952526202e+02 1.048102786952526185e+04 6.345902460477305107e-01 1.269180492095461042e-02
1.768726272182031822e+00 1.280818275356584195e+02 1.034780388224210554e+02 1.034780388224210583e+04 6.577034341335348255e-01 1.315406868267069741e-02
1.787542509120138456e+00 1.234358118983538759e+02 1.021647014631533210e+02 1.021647014631533239e+04 6.813468825858383093e-01 1.362693765171676605e-02
1.806358746058245313e+00 1.200374304687772167e+02 1.008699970944368971e+02 1.008699970944368943e+04 7.055142196118013853e-01 1.411028439223602736e-02
1.825174982996351947e+00 1.265998957168293515e+02 9.959365989623405824e+01 9.959365989623405767e+03 7.301977522179238234e-01 1.460395504435847702e-02
1.843991219934458581e+00 1.147070592660562056e+02 9.833542770647851228e+01 9.833542770647851285e+03 7.553884184674586333e-01 1.510776836934917336e-02
1.862807456872565437e+00 1.126374243171457437e+02 9.709504197646764112e+01 9.709504197646763714e+03 7.810757417214353460e-01 1.562151483442870796e-02
1.881623693810672071e+00 1.191727779171851012e+02 9.587224772664174566e+01 9.587224772664174452e+03 8.072477871669195837e-01 1.614495574333839334e-02
1.900439930748778705e+00 1.170282785307670821e+02 9.466679350275633453e+01 9.466679350275633624e+03 8.338911209436123961e-01 1.667782241887224778e-02
1.919256167686885561e+00 1.081872328439533248e+02 9.347843133244521141e+01 9.347843133244521596e+03 8.609907721861215224e-01 1.721981544372242975e-02
1.938072404624992195e+00 1.076765389055667583e+02 9.230691668217843926e+01 9.230691668217843471e+03 8.885301983040272411e-01 1.777060396608054482e-02
1.956888641563099052e+00 1.239839444094290286e+02 9.115200841461052050e+01 9.115200841461051823e+03 9.164912538251576146e-01 1.832982507650315201e-02
1.975704878501205686e+00 1.132281205778325841e+02 9.001346874632280048e+01 9.001346874632279651e+03 9.448541631290917620e-01 1.889708326258183677e-02
1.994521115439312320e+00 1.079854738709155129e+02 8.889106320596077637e+01 8.889106320596078149e+03 9.735974973977692404e-01 1.947194994795538661e-02
2.013337352377419176e+00 1.100017063044221004e+02 8.778456059276054191e+01 8.778456059276053566e+03 1.002698156108036809e+00 2.005396312216073743e-02
2.032153589315525810e+00 1.023638108604980204e+02 8.669373293547312187e+01 8.669373293547312642e+03 1.032131353386915862e+00 2.064262706773831862e-02
2.050969826253632444e+00 1.041827730538026344e+02 8.561835545167733130e+01 8.561835545167732562e+03 1.061870609544267374e+00 2.123741219088534637e-02
2.069786063191739078e+00 1.172243643566512645e+02 8.455820650748779599e+01 8.455820650748779371e+03 1.091887748089147570e+00 2.183775496178295278e-02
2.088602300129846157e+00 1.260152687774129419e+02 8.351306757765372879e+01 8.351306757765372822e+03 1.122152898525618170e+00 2.244305797051236381e-02
2.107418537067952791e+00 1.045035129422136038e+02 8.248272320604900187e+01 8.248272320604899505e+03 1.152634505210774707e+00 2.305269010421549455e-02
